#Sat Sep 25 01:27:26 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
              21         -0.4772           6.356
              22           -2.03           6.242
              23         0.09104           5.864
              24          -1.106           6.361
              25          0.8443           6.563
              26          0.4604           5.924
              27          0.7606           6.289
              28          -1.147           6.323
              29          0.5859           6.775
              30           1.445           5.917
              31           1.387           7.249
              32          0.2004           6.225
              33          -1.239           6.776
              34          0.3862           6.371
              35        -0.08297            7.31
              36         -0.6366           6.358
              37         -0.7482           6.218
              38         -0.1065           6.766
              39          0.3634           7.632
              40          -0.127            6.88
              41           1.196            6.35
              42         -0.2093           7.535
              43        -0.07489           7.797
              44         -0.2298           7.107
              45           1.994           7.426
              46         0.08884            6.91
              47           1.601           8.298
              48          0.3722            6.02
              49         -0.6946           6.234
              50          0.7511           7.417
              51          0.3722           6.244
              52          -1.406           6.202
              53         -0.5257           6.507
              54          0.1696            6.23
              55          0.6512           5.915
              56         -0.1747           6.096
              57         -0.4053           6.647
              58         -0.4001           6.296
              59         -0.1938           6.733
              60         -0.8987           5.783
              61           1.533           6.851
              62          0.1395           5.939
              63          0.5338           7.656
              64         -0.5396           6.114
              65          -1.262           6.346
              66          0.5573           7.423
              67          0.9222           7.692
              68           -1.12           6.431
              69          -1.016           6.463
              70          -0.174           7.236
              71          0.3752           7.349
              72         -0.9141            6.86
              73           1.719           6.156
              74           0.293           6.894
              75          0.6843           7.687
              76          0.2026           6.553
              77          0.6865           6.255
              78          0.4383           6.705
              79         -0.4442           8.349
              80          -1.046           6.287
              81          -1.253           6.215
              82           1.336           6.895
              83          0.3297           6.052
              84         -0.8018           6.308
              85         -0.8142           6.178
              86           1.074           6.043
              87           1.995           6.182
              88           -0.63           5.891
              89          0.8392           6.373
              90          0.3818           5.837
              91           1.164           6.785
              92         -0.6527            6.03
              93           1.043           7.083
              94          0.5316           5.617
              95           1.084           7.758
              96         -0.6909           6.378
              97          -1.148           6.383
              98          0.1248           7.623
              99          0.3935           8.208
             100         -0.3796           6.498
             101         -0.9684           5.897
             102          0.2981           6.843
             103           0.511           7.522
             104         -0.3906            7.18
             105        0.001468           7.275
             106           0.254           6.978
             107           1.171            7.88
             108          -1.496           6.266
             109        -0.03891           7.171
             110          0.1432            7.36
             111           1.606           8.149
             112         -0.9611           6.424
             113          -1.008           6.059
             114          0.6263            6.53
             115           1.758           5.902
             116          -1.542           6.254
             117          0.5059           6.215
             118          0.4853           5.719
             119           1.047           5.985
             120          -0.815           6.062
             121          0.6997           6.417
             122          0.8935           5.652
             123           2.015           7.062
             124         -0.6791           5.858
             125           1.131           7.208
             126          0.7827           5.988
             127          0.4435           8.598
APV               20              11               7               7
               0          -1.477           41.46
               1           2.622           36.43
               2          0.9515           34.31
               3          -2.442            34.2
               4           0.486           10.85
               5          0.5345           8.585
               6         -0.3223           8.386
               7           0.279           9.111
               8          0.1615           6.408
               9           0.837           6.962
              10          -1.126           9.046
              11          0.2474           10.57
              12          0.8921           5.997
